round,has_attacker,trusted_krum_s,adv_krum_s_avg,ben_krum_s_avg,adv_krum_s,ben_krum_s
34,True,14.788406714626177,34.36788811965664,17.104240360975236,[35.19358751 33.04920178 36.79720592 37.14001752 29.65942786],[17.07032491 19.09969631 14.78840671 19.44947536 15.11329851]
35,True,17.883434889321,35.3583779830998,24.734720521827352,[38.82917602 32.59311677 33.93820761 36.07301153],[17.96371989 21.15934194 19.903741   19.15323165 52.34485376 17.88343489]
36,True,11.455599222681208,18.759922485262734,20.88239470005509,[15.63041172 23.09613303 17.5532227 ],"[11.45559922 33.26808238 29.64196491 32.68386546 12.70987553 12.2503537
 14.16702169]"
37,True,7.5346809627097535,10.307028944299596,17.705338511070753,[11.06270399 12.71964566  8.26679977  9.17896636],[38.11911383 10.06913232 32.44551802  7.53468096  9.37727246  8.68631347]
38,False,6.904501342138609,11.749398740197748,10.642055449301507,[13.54846455 10.58869031 11.86043007 11.81356875 10.93584002],[ 9.77008087 12.56535333 10.22046822 13.74987348  6.90450134]
39,True,9.764316253961315,35.80383852048567,11.282236564564391,[37.41351343 35.44974029 34.54826184],"[14.04542032  9.76629346 11.24684369 11.02557845  9.76431625 12.32561969
 10.80158409]"
40,True,14.918257383156305,33.950467088199176,16.75919774231572,[35.06571797 38.04006523 33.60606091 23.69178065 39.34871068],[16.66833718 18.15219898 14.91825738 15.8061807  18.25101446]
41,True,14.08491672604487,31.5426515670313,16.295350130572704,[18.45901429 37.27984315 15.11305556 32.52811382 50.71714999 35.15873259],[17.33992595 16.04307159 14.08491673 17.71348626]
42,True,7.991952562862085,38.04812273165916,10.600944572850441,[39.74480653 36.35143894],"[ 9.81452686 10.64984048 11.482083   10.26676908  7.99195256 10.86122018
 12.70020983 11.0409546 ]"
43,True,7.728646801241602,11.353431050234438,12.214798874805338,[10.95713168 13.1081667   9.74940133 11.59902449],[ 7.7286468   9.04315002 10.43720432  9.28085442 28.68550955  8.11342815]
44,True,8.283300578515483,29.600675170352492,11.398126225886099,[32.91278963 27.78201653 28.10721934],"[12.77570125 10.63643603 12.31370658 10.34468436 12.93122666 12.50182812
  8.28330058]"
45,True,17.28130149506714,33.59877082608433,18.310706152350374,[23.35660127 34.45679891 31.98676687 38.54674156 39.64694552],[17.2813015  19.06068204 18.02077471 18.09905455 19.09171798]
46,True,9.680398942301721,29.076565157064138,11.478146641693044,[30.26562908 37.3404578  33.87121346 14.82896028],[11.87516966 10.16622145  9.68039894 11.66650951 10.38868614 15.09189415]
47,True,9.417115783742577,28.542212536567988,12.913707477310675,[34.79113059 13.83235265 34.24592726 31.29943964],[14.9899342  13.58623846  9.41711578 16.36731475 10.7767709  12.34487078]
48,True,9.142637839635864,28.818119390577245,11.501137198432389,[33.96659627 31.52642027 10.49986383 39.27959719],[10.1131941  11.5904713  12.08030565  9.14263784 14.31761475 11.76259955]
49,True,9.900373143135198,22.52448609610331,13.436644225267216,[37.82842442 13.55730986 16.20167772 11.01466877 34.0203497 ],[ 9.90037314 10.81907762 16.38823736 13.20565876 16.86987425]
50,True,6.232661810675626,18.434035567970895,9.223815633796182,[ 9.52261271 31.57139379 10.17280014 30.49866567 10.40470553],[ 9.1644405   6.23266181 10.88292335 11.05331643  8.78573608]
51,True,8.71907318950975,65.95112550558878,11.398820604293883,[36.15646538 95.74578563],"[15.94514497 12.51196885 11.66437278 10.22227175  9.8840001   9.67939202
 12.56434118  8.71907319]"
52,True,15.780654597146146,33.183230331562505,17.609383558100042,[39.36843707 33.82672406 34.11972213 21.05189142 34.20266098 36.52994634],[15.7806546  16.29327084 17.59227825 20.77133055]
53,True,13.56510442306761,38.780923527767754,15.976313010898417,[41.10730411 35.76801242 33.95735836 44.29101921],[15.44451707 17.24399113 13.76637404 13.56510442 17.42547911 18.41241229]
54,True,5.556503760691214,14.378054650587677,6.891531446913987,[ 8.49124601  8.11707935  9.49333088 31.41056236],[7.7701243  6.99430104 7.76698272 6.47902322 5.55650376 6.78225363]
55,True,11.904225594902034,31.052291220669947,15.766368175526877,[32.33340643 31.61344192 32.78450679 27.47780973],[15.35700683 13.94829562 16.42757849 17.71117205 11.90422559 19.24993046]
56,False,5.069365612879281,9.094142371333856,6.978464160723511,[11.25038783  6.97428075  9.80297577  8.34892513],[5.06936561 7.10804826 9.24701696 5.43290038 5.76724392 9.24620982]
57,False,5.869937950468163,13.942536111975244,8.690482799536728,[13.94253611],"[ 5.86993795  7.08338605  6.05862005 11.08205357  8.89593323 11.4858985
 10.60051184  8.82865974  8.30934426]"
58,True,9.106990582792122,10.347145186997825,16.107089760160815,[ 9.21910398 10.14062689 12.1613101   9.97444919 10.24023578],[10.88040192 36.81547673 11.57224749 12.16033207  9.10699058]
59,True,7.804812800135657,40.64267310570307,10.176319320749272,[35.62725063 45.65809558],"[12.46992955 10.5521898  10.52155353 12.26069886  8.1441307   7.8048128
  9.76231799  9.89492132]"
60,True,10.536447488442352,32.7198211337228,13.549719608846194,[33.95324253 32.23477115 31.97144972],"[12.35435153 16.71021052 16.88854124 15.29661032 10.53644749 11.01224799
 12.04962817]"
61,True,5.791090570970052,8.057818927789041,16.07548002010878,[8.55129808 7.66680363 7.25421519 8.75895881],[30.40069495  5.79109057  6.45812924  8.58212517  9.65616927 35.56467093]
